CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1560.13,1559.99,1560.130000,-0.28000000,closeByStopLossNonProfitable,buy
1559.45,1559.53,1559.680000,2.44000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,2.38000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,2.27000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,2.22000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,2.19000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,2.06000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,1.76000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,1.67000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,1.53000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,1.48000000,closeByStopLossProfitable,sell
1559.45,1559.53,1559.680000,1.58000000,closeByStopLossProfitable,sell
1558.77,1558.44,1558.580000,-1.22000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.19000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.48000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.37000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.37000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.48000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.97000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.77000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.73000000,closeByStopLossNonProfitable,buy
1558.77,1558.44,1558.580000,-1.58000000,closeByStopLossNonProfitable,buy
1558.62,1558.42,1558.600000,-0.37000000,closeByStopLossNonProfitable,buy
1558.56,1558.42,1558.600000,-0.30000000,closeByStopLossNonProfitable,buy
1558.56,1558.42,1558.600000,-0.33000000,closeByStopLossNonProfitable,buy
1558.56,1558.42,1558.600000,-0.32000000,closeByStopLossNonProfitable,buy
